scenarioLabel,protocol,scenario,nNodes,nFlows,simTime,nRuns,pdr_mean,pdr_ci95,latency_mean,latency_ci95,steadyBps_mean,steadyBps_ci95,bootstrapBytes_mean,bootstrapBytes_ci95,totalOverhead_mean,totalOverhead_ci95,energy_mean,energy_ci95,txEnergy_mean,txEnergy_ci95,rxEnergy_mean,rxEnergy_ci95,gttAccuracy_mean,gttAccuracy_ci95,convergence_mean,convergence_ci95,routeDiscovery_mean,routeDiscovery_ci95
home-medium,AODV,home,30,8,600.00,5,0.98,0.01,11.90,0.63,53210.40,1925.49,151200.00,0.00,28884818.40,1039762.33,2158.15,0.79,76.16,2.70,1082.68,37.69,-1.00,0.00,0.00,0.00,0.00,0.00
home-medium,OLSR,home,30,8,600.00,5,0.99,0.01,2.80,0.02,5510.44,59.57,277440.00,0.00,3253077.20,32168.28,2159.75,0.13,9.78,0.06,212.81,1.33,1.00,0.00,0.00,0.00,0.00,0.00
home-medium,DSDV,home,30,8,600.00,5,0.99,0.01,2.88,0.09,6761.69,61.40,349718.40,2511.15,4001030.80,33020.32,2156.64,0.06,11.73,0.06,211.76,2.22,-1.00,0.00,0.00,0.00,0.00,0.00
home-large,TAVRN,home,50,12,600.00,5,0.92,0.02,5.47,1.14,4597.73,747.52,102940.00,4358.00,2585716.40,404863.17,3594.03,0.15,12.31,0.88,337.92,17.40,0.99,0.01,306.41,94.97,254.86,165.24
home-large,AODV,home,50,12,600.00,5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
home-large,OLSR,home,50,12,600.00,5,0.99,0.01,4.17,0.06,13113.61,101.97,660249.60,848.02,7741597.60,55442.78,3604.07,0.21,19.15,0.11,664.28,3.33,1.00,0.00,0.00,0.00,0.00,0.00
home-large,DSDV,home,50,12,600.00,5,0.97,0.01,4.47,0.20,18149.99,63.74,945492.00,12470.73,10746485.60,46519.66,3596.20,0.15,26.24,0.07,645.70,9.46,-1.00,0.00,0.00,0.00,0.00,0.00
home-hell,TAVRN,home,50,12,600.00,5,0.92,0.04,5.61,0.51,4710.34,703.90,102940.00,4358.00,2646522.00,377172.52,3594.03,0.15,12.50,0.85,342.15,13.24,0.97,0.03,236.84,61.15,331.53,160.32
home-hell,AODV,home,50,12,600.00,5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
home-hell,OLSR,home,50,12,600.00,5,0.98,0.02,4.11,0.13,12655.25,252.75,660249.60,848.02,7494082.00,137313.42,3604.07,0.21,18.71,0.26,648.17,8.81,1.00,0.00,0.00,0.00,0.00,0.00
home-hell,DSDV,home,50,12,600.00,5,0.98,0.00,4.37,0.15,16807.52,61.87,945492.00,12470.73,10021554.00,26689.84,3596.20,0.15,24.79,0.07,622.17,5.76,-1.00,0.00,0.00,0.00,0.00,0.00
